MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
88,3,26,2.865408,1.427,0,16776960,16776704,283743,,6.434,-21.968,122.94,0,1,0,0,0,0,0,0,0,0
89,3,26,2.928856,1.49,0,16776960,16776704,283744,,6.434,-21.968,122.877,0,1,0,0,0,0,0,0,0,0
90,3,26,2.992352,1.554,0,16776960,16776704,283745,,6.434,-21.968,122.813,0,1,0,0,0,0,0,0,0,0
91,3,26,3.055896,1.617,0,16776960,16776704,283746,,6.434,-21.968,122.75,0,1,0,0,0,0,0,0,0,0
92,3,26,3.119592,1.681,0,16776960,16776704,283747,,6.434,-21.968,122.686,0,1,0,0,0,0,0,0,0,0
93,3,26,3.183112,1.744,0,16776960,16776704,283748,,6.434,-21.968,122.623,0,1,0,0,0,0,0,0,0,0
94,3,26,3.246632,1.808,0,16776960,16776704,283749,,6.434,-21.968,122.559,0,1,0,0,0,0,0,0,0,0
95,3,26,3.31064,1.872,0,16776960,16776704,283750,,6.434,-21.969,122.495,0,1,0,0,0,0,0,0,0,0
96,3,26,3.3746,1.936,0,16776960,16776704,283751,,6.434,-21.969,122.431,0,1,0,0,0,0,0,0,0,0
97,3,26,3.438184,1.999,0,16776960,16776704,283752,,6.434,-21.969,122.368,0,1,0,0,0,0,0,0,0,0
98,3,26,3.501728,2.063,0,16776960,16776704,283753,,6.434,-21.969,122.304,0,1,0,0,0,0,0,0,0,0
99,3,26,3.565168,2.127,0,16776960,16776704,283754,,6.434,-21.969,122.24,0,1,0,0,0,0,0,0,0,0
100,3,26,3.628696,2.19,0,16776960,16776704,283755,,6.434,-21.969,122.177,0,1,0,0,0,0,0,0,0,0
101,3,26,3.692248,2.254,0,16776960,16776704,283756,,6.434,-21.969,122.113,0,1,0,0,0,0,0,0,0,0
102,3,26,3.755792,2.317,0,16776960,16776704,283757,,6.434,-21.969,122.05,0,1,0,0,0,0,0,0,0,0
103,3,26,3.819312,2.381,0,16776960,16776704,283758,,6.434,-21.969,121.986,0,1,0,0,0,0,0,0,0,0
104,3,26,3.88284,2.445,0,16776960,16776704,283759,,6.434,-21.969,121.922,0,1,0,0,0,0,0,0,0,0
105,3,26,3.94676,2.509,0,16776960,16776704,283760,,6.434,-21.97,121.859,0,1,0,0,0,0,0,0,0,0
106,3,26,4.010632,2.572,0,16776960,16776704,283761,,6.434,-21.97,121.796,0,1,0,0,0,0,0,0,0,0
107,3,26,4.073992,2.636,0,16776960,16776704,283762,,6.434,-21.97,121.732,0,1,0,0,0,0,0,0,0,0
108,3,26,4.137536,2.699,0,16776960,16776704,283763,,6.434,-21.97,121.669,0,1,0,0,0,0,0,0,0,0
109,3,26,4.20104,2.763,0,16776960,16776704,283764,,6.434,-21.97,121.605,0,1,0,0,0,0,0,0,0,0
110,3,26,4.264808,2.827,0,16776960,16776704,283765,,6.434,-21.97,121.541,0,1,0,0,0,0,0,0,0,0
111,3,26,4.32864,2.891,0,16776960,16776704,283766,,6.434,-21.97,121.477,0,1,0,0,0,0,0,0,0,0
112,3,26,4.392096,2.954,0,16776960,16776704,283767,,6.434,-21.971,121.414,0,1,0,0,0,0,0,0,0,0
113,3,26,4.455464,3.017,0,16776960,16776704,283768,,6.434,-21.971,121.351,0,1,0,0,0,0,0,0,0,0
114,3,26,4.5194,3.081,0,16776960,16776704,283769,,6.434,-21.971,121.287,0,1,0,0,0,0,0,0,0,0
115,3,26,4.583048,3.145,0,16776960,16776704,283770,,6.434,-21.971,121.223,0,1,0,0,0,0,0,0,0,0
116,3,26,4.646488,3.208,0,16776960,16776704,283771,,6.434,-21.971,121.16,0,1,0,0,0,0,0,0,0,0
117,3,26,4.710488,3.272,0,16776960,16776704,283772,,6.434,-21.971,121.096,0,1,0,0,0,0,0,0,0,0
