ProfileID,MeastID,U-Sensor,U-TowChangeProgramed,TowPresentBits_Tow32toTow01,meast_idx,t32d,t31d,t30d,t29d,t28d,t27d,t26d,t25d,t24d,t23d,t22d,t21d,t20d,t19d,t18d,t17d,t16d,t15d,t14d,t13d,t12d,t11d,t10d,t09d,t08d,t07d,t06d,t05d,t04d,t03d,t02d,t01d
284289,634,36.169,36.119,00000000000000011111111100000000,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284293,638,36.424,36.369,00000000000000111111111100000000,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284297,642,36.678,36.619,00000000000001111111111100000000,641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284301,646,36.932,36.869,00000000000011111111111100000000,645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284304,649,37.123,37.119,00000000000111111111111100000000,648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284308,653,37.377,37.368,00000000001111111111111100000000,652,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284312,657,37.631,37.618,00000000011111111111111100000000,656,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284316,661,37.886,37.868,00000000111111111111111100000000,660,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284338,683,39.286,39.236,00000000111111111111111000000000,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
284346,691,39.795,39.736,00000000111111111111110000000000,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
284353,698,40.24,40.235,00000000111111111111100000000000,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
284361,706,40.75,40.735,00000000111111111111000000000000,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
284369,714,41.259,41.235,00000000111111111110000000000000,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
284377,722,41.768,41.734,00000000111111111100000000000000,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
284385,730,42.277,42.234,00000000111111111000000000000000,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284393,738,42.786,42.734,00000000111111110000000000000000,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284401,746,43.295,43.233,00000000111111100000000000000000,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284408,753,43.74,43.733,00000000111111000000000000000000,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284416,761,44.25,44.233,00000000111110000000000000000000,760,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284426,771,44.886,44.826,00000000111100000000000000000000,770,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284432,777,45.268,45.232,00000000111000000000000000000000,776,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284440,785,45.777,45.732,00000000110000000000000000000000,784,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284448,793,46.286,46.231,00000000100000000000000000000000,792,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284456,801,46.794,46.731,00000000000000000000000000000000,800,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284491,836,49.021,49.0,00000000111111111111111100000000,835,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
284570,915,54.049,54.0,00000000000000000000000000000000,914,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
